﻿Product Name,Portfolio,Statement URL
Accommodation Special Requirements (ASR),AC,null
Air Cargo Intelligence Command,AC,https://lssiprod.service-now.com/now/nav/ui/classic/params/target/kb_view.do%3Fsysparm_article%3DKB0032150
Asylum Letter Assistant,AC,null
Asylum Policy Search,AC,null
Carrier Support Decision Log,AC,https://lssiprod.service-now.com/ess?id=kb_article&sysparm_article=KB0032107&table=kb_knowledge&searchTerm=carrier%20support
Commercial Support Mailbox,AC,null
Digital Custody Case Management,AC,null
Joint Debriefing Team,AC,null
Ministerial Submissions,AC,https://lssiprod.service-now.com/now/nav/ui/classic/params/target/kb_knowledge.do%3Fsys_id%3D7cec5559fb5bd6504f85f17daeefdc68%26sysparm_view%3D%26sysparm_domain%3Dnull%26sysparm_domain_scope%3Dnull
Op Hillmore,AC,null
Policing Capabilities,AC,null
"Transit, Licence and Carnets",AC,https://lssiprod.service-now.com/ess?id=kb_article&table=kb_knowledge&sys_id=4f9d3086fb036e143cdaf650beefdc3f&recordUrl=kb_view.do%3Fsysparm_article%3DKB0032244
UASC NTS,AC,null
Sanctioned Companies Check,AC,null
Prevent Case Management,AC,null
